,P6426,P6440,P7040,OFICIO,P6430,RAMA4D_R4,INGLABO
0,42,1,2,33,1,1089,1600000
1,120,2,2,45,4,4781,700000
2,96,1,2,39,1,8541,1000000
3,1,1,2,39,1,2229,908526
4,4,1,2,95,1,4112,1000000
5,4,2,2,45,4,4789,600000
6,3,1,2,97,1,4111,910000
7,8,2,2,45,4,4789,600000
8,4,2,2,13,4,8559,80000
9,2,1,2,77,1,1081,350000
10,240,2,1,57,4,9602,1250000
11,36,1,2,45,1,1081,1000000
12,84,1,2,95,1,4112,1180000
13,24,2,1,97,4,5320,1080000
14,12,2,2,97,4,5320,800000
15,36,1,2,98,1,9601,908526
16,48,1,2,97,1,2229,908526
17,60,2,2,57,4,9602,900000
18,72,2,2,61,4,145,100000
19,36,1,2,95,1,4210,1200000
20,50,2,2,54,4,8121,900000
21,16,1,2,54,3,9700,1480000
22,36,1,2,55,1,6820,1142000
23,24,1,2,3,1,4330,1000000
24,28,1,2,87,1,3600,908526
25,0,2,2,93,4,4330,80000
26,84,1,2,37,1,4645,1400000
27,168,1,2,79,1,1410,908526
28,168,1,2,54,3,9700,1508526
29,10,1,2,54,3,9700,1010000
30,72,1,2,83,1,2599,1100000
31,240,2,2,98,4,4921,1000000
32,54,2,2,95,4,4112,500000
33,4,1,2,95,1,4112,908526
34,18,2,2,45,4,4781,650000
35,36,2,2,45,4,4781,200000
36,6,1,2,95,1,4112,908526
37,36,2,2,34,4,6399,600000
38,27,2,2,97,4,5224,325000
39,0,2,2,45,4,4789,50000
40,6,1,2,77,1,5619,700000
41,12,2,2,97,4,5224,500000
42,250,1,2,98,1,4661,1100000
43,48,1,2,59,1,9603,908526
44,3,1,2,45,1,4773, 
45,228,2,2,53,4,5619,80000
46,240,2,1,45,4,4799,2500000
47,120,2,2,56,4,9601,80000
48,12,1,2,37,1,4723,1000000
49,18,1,2,3,1,2599,800000
50,3,1,2,87,1,2599,800000
51,3,1,2,95,1,4111,908526
52,252,2,2,45,4,9200, 
53,24,2,2,13,4,8559,1200000
54,36,1,2,37,1,3250,908526
55,6,1,2,79,1,1410,1028526
56,480,1,2,81,1,3110,908526
57,96,1,2,87,1,4520,1000000
58,360,1,2,97,1,2021,908000
59,420,2,2,41,4,4721,1000000
60,60,1,2,56,1,1410,908000
61,24,1,2,3,1,8622,908000
62,8,2,2,99,4,3830,50000
63,144,1,2,79,1,1410,908000
64,0,1,2,81,1,3110,350000
65,36,1,2,79,1,1410,600000
66,36,2,2,45,4,4792,908526
67,30,2,1,12,4,6910,1000000
68,18,1,2,45,1,4752,1100000
69,9,1,2,44,1,6110,908500
70,0,1,2,3,1,5611,1100000
71,72,1,2,58,1,4752,1200000
72,24,2,2,54,4,8121,450000
73,12,1,2,79,1,1410,908000
74,5,1,2,95,1,125,1480000
75,48,1,1,11,1,6920,2500000
76,24,2,2,21,5,4321,1200000
77,24,2,2,33,6,4321, 
78,360,2,2,33,4,6920,2000000
79,0,2,2,41,4,4771,100000
80,24,1,1,3,1,7310,900000
81,5,1,2,98,1,4921,908526
82,84,1,2,3,1,9522,908526
83,72,1,2,45,1,4711,908526
84,12,1,1,95,1,4210,2000000
85,60,2,2,79,4,1410,670000
86,30,1,2,45,1,4649,908526
87,11,1,2,58,1,8691,800000
88,84,1,2,58,1,8010,2080000
89,6,1,2,79,1,1410,670000
90,2,1,2,97,1,1081,908000
91,84,1,2,70,1,1410,1196000
92,5,1,2,55,3,9700,1000000
93,5,1,2,38,1,6499,908000
94,42,1,2,39,2,3600,3500000
95,24,2,1,53,5,5619,1400000
96,14,1,2,45,1,5611,920000
97,12,1,2,97,1,5619,908526
98,7,1,2,77,1,5619,560000
99,2,1,2,79,1,1410,150000
100,0,1,2,79,1,1410,150000
101,360,2,2,45,4,4774, 
102,201,2,1,3,4,7310,1000000
103,60,1,2,53,1,5611,2400000
104,24,1,2,97,1,111,908526
105,72,2,2,59,5,4773, 
106,24,2,2,3,4,5911, 
107,0,2,2,54,4,8890,500000
108,38,1,2,3,1,3313,1260000
109,30,1,2,37,1,4923,1100000
110,36,1,2,97,1,4649,908500
111,30,1,2,11,1,4711,3300000
112,380,1,2,54,3,9700,980000
113,60,1,2,21,4,8523,1900000
114,324,1,2,21,2,8424,5000000
115,60,2,1,21,5,2229,5000000
116,60,2,2,21,4,7490,3000000
117,18,1,2,8,1,6820,2500000
118,60,2,2,53,4,5619,600000
119,360,1,2,55,2,8544,1700000
120,240,2,2,79,4,1410,500000
121,2,1,2,97,1,5320,1000000
122,122,1,2,21,1,2599,2000000
123,60,1,2,11,1,8544,1500000
124,324,1,2,21,1,1410,3000000
125,12,1,2,19,4,8720,1300000
126,361,1,2,39,1,5619,2000000
127,36,1,2,8,1,6499,2000000
128,408,2,2,45,4,4724,200000
129,60,2,2,7,4,8610,3000000
130,128,1,2,39,1,4711,1400000
131,204,1,2,58,2,8423,1500000
132,3,2,2,98,4,4921,1200000
133,96,1,2,33,1,4923,1750000
134,6,1,2,3,4,7310,908526
135,8,2,2,79,4,1410,800000
136,6,2,2,57,4,9602,1500000
137,11,2,2,98,4,4921,800000
138,12,1,2,45,1,4773,908526
139,372,2,2,84,4,3312,1800000
140,60,1,2,32,1,8530,1100000
141,60,1,2,21,1,8010,2500000
142,60,1,2,58,1,8010,2000000
143,36,2,2,45,4,4771,2000000
144,8,1,2,39,1,6920,950000
145,160,2,2,97,4,5224,700000
146,24,2,2,79,5,1410,400000
147,204,1,2,21,1,2750, 
148,60,1,2,33,1,8610, 
149,9,1,2,38,1,8220, 
150,60,2,2,41,4,4741,1400000
151,24,2,2,21,4,7490,800000
152,480,2,2,21,5,1392,4000000
153,12,2,2,45,4,4781,450000
154,4,2,2,45,4,4781,600000
155,12,2,2,45,4,5619,400000
156,204,2,2,45,4,4781,500000
157,480,1,2,13,1,8544,3000000
158,60,2,2,16,4,7310,2000000
159,6,1,2,44,1,4511,1800000
160,36,1,2,16,1,7410,2200000
